419,hsa-miR-302b-3p
420,hsa-miR-32-5p
421,hsa-miR-876-5p
422,hsa-miR-33a-5p
423,hsa-miR-148b-3p
424,hsa-miR-873-5p
425,hsa-miR-3666
426,hsa-miR-103a-3p
427,hsa-miR-339-5p
428,hsa-miR-362-3p
429,hsa-miR-653-5p
430,hsa-miR-92b-3p
431,hsa-miR-378f
432,hsa-miR-346
433,hsa-miR-542-3p
434,hsa-miR-301a-3p
435,hsa-miR-146a-5p
436,hsa-miR-92a-3p
437,hsa-miR-33b-5p
438,hsa-miR-3619-5p
439,hsa-miR-154-5p
440,hsa-miR-212-3p
441,hsa-miR-148a-3p
442,hsa-miR-326
443,hsa-miR-599
444,hsa-miR-3167
445,hsa-miR-138-5p
446,hsa-miR-543
447,hsa-miR-506-3p
448,hsa-miR-1271-5p
449,hsa-miR-223-3p
450,hsa-miR-488-3p
451,hsa-miR-221-3p
452,hsa-miR-30e-5p
453,hsa-miR-155-5p
454,hsa-miR-370-3p
455,hsa-miR-181b-5p
456,hsa-miR-196b-5p
457,hsa-miR-27b-3p
458,hsa-miR-106a-5p
459,hsa-miR-615-3p
460,hsa-miR-202-3p
461,hsa-let-7d-5p
462,hsa-miR-544a
463,hsa-miR-197-3p
464,hsa-miR-152-3p
465,hsa-miR-215-5p
466,hsa-miR-448
467,hsa-miR-4782-3p
468,hsa-miR-216a-5p
469,hsa-miR-224-5p
470,hsa-miR-761
471,hsa-miR-204-5p
472,hsa-miR-4725-5p
473,hsa-miR-378a-3p
474,hsa-miR-342-3p
475,hsa-miR-424-5p
476,hsa-miR-20a-5p
477,hsa-miR-301b
478,hsa-miR-29a-3p
479,hsa-miR-708-5p
480,hsa-miR-328-3p
481,hsa-miR-30b-5p
482,hsa-miR-101-3p
483,hsa-miR-451a
484,hsa-miR-410-3p
485,hsa-miR-379-5p
486,hsa-miR-25-3p
487,hsa-let-7c-5p
488,hsa-miR-125a-3p
489,hsa-let-7i-5p
490,hsa-miR-191-5p
491,hsa-miR-96-5p
492,hsa-miR-23a-3p
493,hsa-miR-17-5p
494,hsa-miR-208a-3p
495,hsa-miR-23b-3p
496,hsa-miR-497-5p
497,hsa-miR-449b-5p
498,hsa-miR-199a-5p
499,hsa-miR-187-3p
500,hsa-miR-449a
501,hsa-miR-126-3p
502,hsa-miR-299-3p
503,hsa-miR-3529-5p
504,hsa-miR-378d
505,hsa-miR-181a-5p
506,hsa-miR-192-5p
507,hsa-miR-613
508,hsa-miR-18a-5p
509,hsa-miR-15a-5p
510,hsa-miR-520b
511,hsa-miR-183-5p
512,hsa-miR-29b-3p
513,hsa-miR-143-3p
514,hsa-miR-505-3p
515,hsa-miR-302c-3p
516,hsa-miR-4306
517,hsa-miR-363-3p
518,hsa-miR-320d
519,hsa-miR-4465
520,hsa-miR-30c-5p
521,hsa-miR-31-5p
522,hsa-miR-193a-3p
523,hsa-miR-372-3p
524,hsa-miR-30d-5p
525,hsa-miR-376a-3p
526,hsa-miR-141-3p
527,hsa-miR-382-5p
528,hsa-miR-4770
529,hsa-miR-4319
530,hsa-miR-3139
531,hsa-miR-324-5p
532,hsa-miR-125a-5p
533,hsa-miR-30a-5p
534,hsa-miR-124-3p
535,hsa-miR-421
536,hsa-miR-539-5p
537,hsa-miR-122-5p
538,hsa-miR-203a
539,hsa-miR-519d-3p
540,hsa-miR-378e
541,hsa-miR-22-3p
542,hsa-miR-139-5p
543,hsa-miR-200a-3p
544,hsa-miR-106b-5p
545,hsa-let-7g-5p
546,hsa-miR-374b-5p
547,hsa-let-7e-5p
548,hsa-miR-330-5p
549,hsa-miR-214-3p
550,hsa-miR-34c-5p
551,hsa-let-7b-5p
552,hsa-miR-4500
553,hsa-miR-149-5p
554,hsa-miR-128-3p
555,hsa-miR-129-5p
556,hsa-miR-371a-5p
557,hsa-miR-590-3p
558,hsa-miR-374a-5p
559,hsa-miR-4262
560,hsa-miR-150-5p
561,hsa-miR-26a-5p
562,hsa-miR-146b-5p
563,hsa-miR-520e
564,hsa-miR-377-3p
565,hsa-miR-320a
566,hsa-miR-145-5p
567,hsa-let-7f-5p
568,hsa-miR-28-5p
569,hsa-miR-219a-5p
570,hsa-miR-520a-3p
571,hsa-miR-367-3p
572,hsa-miR-4735-3p
573,hsa-miR-378b
574,hsa-miR-494-3p
575,hsa-miR-3118
576,hsa-miR-211-5p
577,hsa-miR-320b
578,hsa-miR-23c
579,hsa-miR-21-5p
580,hsa-miR-300
581,hsa-miR-136-5p
582,hsa-miR-302d-3p
583,hsa-miR-376c-3p
584,hsa-miR-218-5p
585,hsa-miR-200c-3p
586,hsa-let-7a-5p
587,hsa-miR-199b-5p
588,hsa-miR-19b-3p
589,hsa-miR-373-3p
590,hsa-miR-338-3p
591,hsa-miR-200b-3p
592,hsa-miR-329-3p
593,hsa-miR-20b-5p
594,hsa-miR-4295
595,hsa-miR-137
596,hsa-miR-10a-5p
597,hsa-miR-454-3p
598,hsa-miR-1297
599,hsa-miR-504-5p
600,hsa-miR-383-5p
601,hsa-miR-182-5p
602,hsa-miR-302a-3p
603,hsa-miR-186-5p
604,hsa-miR-496
605,hsa-miR-107
606,hsa-miR-130a-3p
607,hsa-miR-378c
608,hsa-miR-503-5p
609,hsa-miR-208b-3p
610,hsa-miR-26b-5p
611,hsa-miR-16-5p
612,hsa-miR-320c
613,hsa-miR-422a
614,hsa-miR-206
615,hsa-miR-142-3p
616,hsa-miR-93-5p
617,hsa-miR-455-5p
618,hsa-miR-185-5p
619,hsa-miR-429
620,hsa-miR-205-5p
621,hsa-miR-140-5p
622,hsa-miR-485-5p
623,hsa-miR-135b-5p
624,hsa-miR-15b-5p
625,hsa-miR-24-3p
626,hsa-miR-34a-5p
627,hsa-miR-495-3p
628,hsa-miR-378h
629,hsa-miR-181d-5p
630,hsa-miR-194-5p
631,hsa-miR-491-5p
632,hsa-miR-193b-3p
633,hsa-miR-1
634,hsa-miR-433-3p
635,hsa-miR-190b
636,hsa-miR-19a-3p
637,hsa-miR-874-3p
638,hsa-miR-135a-5p
639,hsa-miR-425-5p
640,hsa-miR-216b-5p
641,hsa-miR-217
642,hsa-miR-4429
643,hsa-miR-302e
644,hsa-miR-335-5p
645,hsa-miR-125b-5p
646,hsa-miR-499a-5p
647,hsa-miR-98-5p
648,hsa-miR-144-3p
649,hsa-miR-590-5p
650,hsa-miR-490-3p
651,hsa-miR-195-5p
652,hsa-miR-361-5p
653,hsa-miR-296-3p
654,hsa-miR-130b-3p
655,hsa-miR-381-3p
